Code,Name,Purchase Price,Tax,Retail Price,Category Code
7.50E+12,Jumex lt botella 1 lt mango,,0,,1
7.50E+12,Jumex lt botella 1 lt manzana,,0,,1
7.50E+12,Jugo arandano LT botella 500ml,,0,,1
7.50E+12,Jugo Boing 1 LT manzana,,0,,1
7.50E+12,Jugo Boing 1 LT fresa,,0,,1
75003104,Jugo Boing 500ML mango,,0,,1
19836200218,Jugo Boing 500ml durazno,,0,,1
75003135,Jugo Boing 500ml guayaba,,0,,1
6.13E+11,Jugo Arizona 680ml kiwi con fresa,,0,,1
6.13E+11,Jugo Arizona 680ml sandia,,0,,1
